length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
1679,190,23,4,5
1040,168,13,3,5
771,35,11,2,2
776,90,11,2,3
125,20,2,1,1
1342,15,22,5,4
324,106,3,2,2
851,50,12,2,2
231,183,1,3,4
1258,2,21,25,22
2000,3,33,26,23
885,63,13,2,3
1422,110,20,3,3
841,33,13,2,2
1425,179,19,4,4
871,177,10,3,5
49,23,0,1,1
680,178,8,4,4
52,173,1,3,3
1350,48,20,2,2
1068,104,15,2,3
315,72,4,2,2
606,54,8,2,2
1243,2,21,25,22
90,131,0,2,3
153,100,1,2,2
833,65,12,2,3
1240,162,17,3,4
542,182,5,4,4
401,162,3,3,4
763,171,9,4,4
1666,178,23,4,5
886,40,13,2,2
1840,158,26,4,4
1704,193,23,5,5
254,164,1,3,4
795,3,13,11,10
1826,102,27,3,4
724,157,9,3,4
1298,11,22,6,5
253,47,4,1,2
597,79,8,2,3
1089,68,16,2,3
1314,113,18,3,3
754,100,10,3,3
408,11,7,2,2
1184,101,16,3,3
1234,92,18,2,3
703,126,9,2,3
390,156,4,3,4
1864,172,26,4,5
1851,6,31,13,12
112,82,0,2,2
378,106,4,3,3
1093,116,15,3,3
1670,59,25,3,3
940,131,13,3,3
1354,127,19,4,5
1697,112,23,3,3
1898,48,27,3,3
650,33,8,2,2
416,176,4,3,4
1892,106,25,3,3
61,127,0,2,2
370,180,2,3,3
827,191,9,3,4
1382,195,17,4,5
1519,169,20,3,4
1054,17,16,3,3
1085,41,15,2,2
1308,17,20,4,3
1063,177,12,4,4
1995,36,29,3,3
298,2,5,6,5
91,183,0,3,4
1589,47,22,3,2
1533,17,24,4,4
1354,1,21,47,43
1433,121,19,3,3
1354,89,18,3,2
605,8,10,3,3
1003,193,12,3,5
971,142,11,3,4
121,46,1,1,1
1976,45,28,3,3
1785,139,24,3,4
1206,110,15,3,3
268,23,3,1,1
1794,88,25,3,3
1318,91,18,3,3
1212,4,19,12,10
1073,33,15,2,2
506,18,8,2,1
360,25,5,1,2
1849,161,24,4,4
1022,129,13,3,3
1594,197,20,4,4
51,120,0,2,3
563,70,7,2,2
484,133,5,2,3
1326,144,16,4,3
1297,165,16,3,4
474,190,4,4,4
1582,196,20,4,5
1401,20,22,3,4
1309,149,17,3,4
630,135,7,2,4
831,194,9,4,4
1700,174,21,3,5
108,101,0,2,2
995,93,13,3,2
197,55,2,1,2
122,101,0,2,2
182,74,2,2,2
787,61,11,2,3
1456,171,18,3,5
1719,112,23,3,3
76,144,1,2,3
367,93,4,2,2
954,108,12,3,2
1569,175,20,4,4
969,114,12,3,3
1430,154,42,15,19
1274,53,18,2,2
1643,127,22,3,4
319,114,3,2,3
391,174,3,3,4
1750,54,24,3,3
66,48,1,1,1
1839,14,29,6,5
655,1,11,23,21
477,12,7,2,2
1524,192,19,4,5
950,16,14,3,3
1603,144,21,4,4
739,33,10,2,2
282,190,1,3,4
838,6,13,6,5
1022,174,12,4,4
755,150,9,3,3
1731,77,24,3,3
1702,118,22,3,3
1424,133,18,3,3
1602,105,22,3,3
1049,26,15,2,3
1994,196,26,4,5
1406,115,19,3,3
145,109,0,2,3
529,93,7,2,3
1932,110,26,3,3
494,154,4,2,4
1787,39,26,3,3
50,158,0,2,3
392,17,6,2,1
1964,55,28,3,4
859,10,13,4,3
1832,57,25,2,2
653,68,8,2,2
1285,163,16,4,4
